brand,phone_name,phone_price,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A90 5G,542,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy M30s,217,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A51,278,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy A71,369,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy Note10 Lite,564,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S10 Lite,566,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy XCover Pro,483,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S20 Ultra,1304,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S20+,883,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung,Samsung Galaxy S20,882,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone 6,113,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone 6s,131,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone SE 2020,503,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone 7 Plus,319,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone 7,186,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone 8 Plus,608,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone Xs Max,755,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone Xs,692,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone 11 Pro Max,1491,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone Xr,1052,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone 11 Pro,1025,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,Apple iPhone 11,756,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo iQOO Pro,418,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo XPlay 5,256,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo X6,230,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo X6A,176,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo X7 Plus,395,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo X7,167,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo X9 Plus,230,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo Y67,169,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo Xplay 6,375,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo X9,176,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo Y66,163,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo X9s Plus,235,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo Y69,205,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo X20 Plus,282,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivo,Vivo X20,202,,,,,,,,,,,,,,,,,,,,,,,,,,
